timestamp,pair,open,high,low,close,bid,ask,volume
2024-01-01T00:00:00Z,EUR/USD,1.1010,1.1018,1.1005,1.1012,1.1011,1.1013,100
2024-01-01T01:00:00Z,EUR/USD,1.1012,1.1019,1.1008,1.1017,1.1016,1.1018,110
2024-01-01T02:00:00Z,EUR/USD,1.1017,1.1025,1.1010,1.1014,1.1013,1.1015,120
2024-01-01T03:00:00Z,EUR/USD,1.1014,1.1021,1.1007,1.1018,1.1017,1.1019,115
2024-01-01T04:00:00Z,EUR/USD,1.1018,1.1023,1.1012,1.1019,1.1018,1.1020,95
2024-01-01T05:00:00Z,EUR/USD,1.1019,1.1026,1.1013,1.1024,1.1023,1.1025,100
2024-01-01T06:00:00Z,EUR/USD,1.1024,1.1030,1.1016,1.1018,1.1017,1.1019,110
2024-01-01T07:00:00Z,EUR/USD,1.1018,1.1027,1.1014,1.1021,1.1020,1.1022,125
2024-01-01T08:00:00Z,EUR/USD,1.1021,1.1029,1.1019,1.1026,1.1025,1.1027,130
2024-01-01T09:00:00Z,EUR/USD,1.1026,1.1034,1.1018,1.1032,1.1031,1.1033,140
2024-01-01T10:00:00Z,EUR/USD,1.1032,1.1040,1.1025,1.1037,1.1036,1.1038,150
2024-01-01T11:00:00Z,EUR/USD,1.1037,1.1042,1.1030,1.1035,1.1034,1.1036,155
2024-01-01T12:00:00Z,EUR/USD,1.1035,1.1045,1.1030,1.1039,1.1038,1.1040,145
2024-01-01T13:00:00Z,EUR/USD,1.1039,1.1048,1.1032,1.1041,1.1040,1.1042,142
2024-01-01T14:00:00Z,EUR/USD,1.1041,1.1047,1.1036,1.1043,1.1042,1.1044,138
2024-01-01T15:00:00Z,EUR/USD,1.1043,1.1051,1.1038,1.1045,1.1044,1.1046,146
2024-01-01T16:00:00Z,EUR/USD,1.1045,1.1052,1.1040,1.1049,1.1048,1.1050,160
2024-01-01T17:00:00Z,EUR/USD,1.1049,1.1057,1.1047,1.1052,1.1051,1.1053,155
2024-01-01T18:00:00Z,EUR/USD,1.1052,1.1058,1.1048,1.1051,1.1050,1.1052,150
2024-01-01T19:00:00Z,EUR/USD,1.1051,1.1059,1.1047,1.1055,1.1054,1.1056,148
2024-01-01T20:00:00Z,EUR/USD,1.1055,1.1062,1.1049,1.1058,1.1057,1.1059,152
2024-01-01T21:00:00Z,EUR/USD,1.1058,1.1064,1.1051,1.1060,1.1059,1.1061,149
2024-01-01T22:00:00Z,EUR/USD,1.1060,1.1068,1.1053,1.1065,1.1064,1.1066,147
2024-01-01T23:00:00Z,EUR/USD,1.1065,1.1072,1.1056,1.1069,1.1068,1.1070,150
